label,recommended_fertilizer,eco_friendly_alternative,dosage
20,Urea,Compost,100-150 kg/acre
20,Urea,Compost,100-150 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,Urea,Compost,100-150 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,Urea,Compost,100-150 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,Urea,Compost,100-150 kg/acre
20,DAP,Manure,80-120 kg/acre
20,SSP,Vermicompost,60-100 kg/acre
20,DAP,Manure,80-120 kg/acre
20,DAP,Manure,80-120 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,SSP,Vermicompost,60-100 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
11,General Purpose Fertilizer,Organic Fertilizer Blend,50-80 kg/acre
